"","video","corpus","utt.num","speech.act","elicit.action","parent.exec","child.exec","action.has","event.start","event.end","Key","VerbOnset","age_months","age_group","is.imperative","age_scaled"
"55","A12","A",168,"interrogative",1,1,"0","1","612211","614080","A12,168",NA,13.5,12,"FALSE",-0.706102886750555
"56","A12","A",170,"interrogative",1,0,"0","0","","","A12,170",NA,13.5,12,"FALSE",-0.706102886750555
"57","A12","A",175,"interrogative",1,0,"1","1","617416","626092","A12,175",NA,13.5,12,"FALSE",-0.706102886750555
"58","A12","A",176,"interrogative",1,1,"0","1","630363","631630","A12,176",NA,13.5,12,"FALSE",-0.706102886750555
"59","A12","A",177,"imperative",1,1,"0","1","630363","631630","A12,177",NA,13.5,12,"TRUE",-0.706102886750555
"60","A12","A",186,"imperative",1,0,"1","1","655855","657990","A12,186","658.767657",13.5,12,"TRUE",-0.706102886750555
"61","A12","A",189,"interrogative",1,0,"1","1","665264","669535","A12,189",NA,13.5,12,"FALSE",-0.706102886750555
"62","A12","A",193,"interrogative",1,0,"1","1","679211","683616","A12,193",NA,13.5,12,"FALSE",-0.706102886750555
"63","A12","A",194,"imperative",1,0,"0","0","","","A12,194","677.17475",13.5,12,"TRUE",-0.706102886750555
"64","A12","A",198,"imperative",1,0,"1","1","694226","709575","A12,198","696.05094",13.5,12,"TRUE",-0.706102886750555
"65","A12","A",199,"interrogative",1,0,"1","1","694226","709575","A12,199",NA,13.5,12,"FALSE",-0.706102886750555
"66","A12","A",200,"interrogative",1,1,"0","1","711644","717009","A12,200",NA,13.5,12,"FALSE",-0.706102886750555
"67","A12","A",201,"imperative",1,0,"1","1","709508","710242","A12,201","711.677135",13.5,12,"TRUE",-0.706102886750555
"68","A12","A",202,"imperative",1,NA,".",NA,".",".","A12,202",NA,13.5,12,"TRUE",-0.706102886750555
"69","A12","A",208,"interrogative",1,0,"1","1","733199","733733","A12,208","733.189383",13.5,12,"FALSE",-0.706102886750555
"70","A12","A",211,"imperative",1,0,"1","1","740539","741874","A12,211","736.427317",13.5,12,"TRUE",-0.706102886750555
"71","A12","A",212,"imperative",1,0,"0","0","","","A12,212","737.457734",13.5,12,"TRUE",-0.706102886750555
"72","A12","A",213,"imperative",1,0,"1","1","733199","733733","A12,213","738.473224",13.5,12,"TRUE",-0.706102886750555
"73","A12","A",214,"imperative",1,0,"1","1","733199","733733","A12,214","740.290174",13.5,12,"TRUE",-0.706102886750555
"74","A12","A",216,"declarative",1,0,"1","1","744010","746746","A12,216",NA,13.5,12,"FALSE",-0.706102886750555
"75","A12","A",226,"imperative",1,0,"1","1","768167","768701","A12,226","764.881685",13.5,12,"TRUE",-0.706102886750555
"76","A12","A",230,"imperative",1,0,"1","1","775441","777376","A12,230","774.43732",13.5,12,"TRUE",-0.706102886750555
"77","A12","A",231,"imperative",1,0,"1","1","775441","777376","A12,231","775.346619",13.5,12,"TRUE",-0.706102886750555
"78","A12","A",236,"imperative",1,NA,".",NA,".",".","A12,236",NA,13.5,12,"TRUE",-0.706102886750555
"79","A12","A",245,"imperative",1,0,"1","1","822822","828694","A12,245","821.409341",13.5,12,"TRUE",-0.706102886750555
"80","A12","A",247,"imperative",1,0,"1","1","822822","828694","A12,247","825.645309",13.5,12,"TRUE",-0.706102886750555
"81","A12","A",253,"imperative",1,NA,".",NA,".",".","A12,253",NA,13.5,12,"TRUE",-0.706102886750555
"82","A12","A",257,"imperative",1,NA,".",NA,".",".","A12,257",NA,13.5,12,"TRUE",-0.706102886750555
"83","A12","A",258,"imperative",1,NA,".",NA,".",".","A12,258",NA,13.5,12,"TRUE",-0.706102886750555
"84","A12","A",263,"imperative",1,NA,".",NA,".",".","A12,263",NA,13.5,12,"TRUE",-0.706102886750555
"85","A14","A",3,"interrogative",1,0,"1","1","9720","16400","A14,3","8.324928",14,12,"FALSE",-0.206102886750555
"86","A14","A",4,"interrogative",1,0,"1","1","9560","15960","A14,4","10.098941",14,12,"FALSE",-0.206102886750555
"87","A14","A",5,"imperative",1,1,"1","1","10640","16240","A14,5","15.286731",14,12,"TRUE",-0.206102886750555
"88","A14","A",6,"imperative",1,1,"1","1","11360","17520","A14,6","16.761055",14,12,"TRUE",-0.206102886750555
"89","A14","A",10,"interrogative",1,0,"1","1","29400","30680","A14,10",NA,14,12,"FALSE",-0.206102886750555
"90","A14","A",18,"declarative",1,0,"1","1","63120","67800","A14,18","62.729051",14,12,"FALSE",-0.206102886750555
"91","A14","A",24,"declarative",1,0,"1","1","87360","93600","A14,24",NA,14,12,"FALSE",-0.206102886750555
"92","A14","A",27,"imperative",1,0,"1","1","90320","91720","A14,27","90.610209",14,12,"TRUE",-0.206102886750555
"93","A14","A",28,"declarative",1,0,"1","1","96880","104440","A14,28","93.511433",14,12,"FALSE",-0.206102886750555
"94","A14","A",29,"interrogative",1,1,"1","1","95750","99320","A14,29","95.300298",14,12,"FALSE",-0.206102886750555
"95","A14","A",36,"interrogative",1,0,"1","1","116760","139203","A14,36","127.493291",14,12,"FALSE",-0.206102886750555
"96","A14","A",37,"interrogative",1,0,"1","1","131840","142800","A14,37",NA,14,12,"FALSE",-0.206102886750555
"97","A14","A",39,"imperative",1,0,"1","1","151760","158920","A14,39","149.983844",14,12,"TRUE",-0.206102886750555
